ID,ACCOUNTID,START_DATE,END_DATE
0064x000007LvUBAA0,0014x000005pCH2AAM,2021-09-02,2022-09-01
0064x000008msDLAAY,0014x00000SXvzSAAT,2021-09-30,2022-09-29
0064x00000I47s0AAB,0014x00000kHLZxAAO,2022-10-04,2022-11-04
0064x000002AR8IAAW,0014x000005pC5lAAE,2020-01-01,2020-12-31
0064x000002AR8MAAW,0014x000005pByIAAU,2019-06-21,2020-06-20
0064x000002AR8SAAW,0014x000005pCB1AAM,2020-03-23,2021-03-22
0064x000002AR90AAG,0014x000005pC5sAAE,2020-02-01,2021-01-31
0064x000002AR96AAG,0014x000005pBq3AAE,2019-12-01,2020-11-30
0064x000002AR9rAAG,0014x000005pC4UAAU,2020-10-23,2021-10-22
0064x000002ARA6AAO,0014x000005pC8tAAE,2020-01-01,2020-12-31
0064x000002ARDGAA4,0014x000005pBzEAAU,2019-08-12,2020-08-11
0064x000002AREFAA4,0014x000005pBu1AAE,2020-11-30,2021-11-29
0064x000002ARELAA4,0014x000005pBsnAAE,2020-10-15,2021-10-14
0064x000002AREpAAO,0014x000005pBuVAAU,2020-11-09,2021-11-08
0064x000002ARFxAAO,0014x000005pByJAAU,2019-05-13,2020-05-12
0064x000002AR8YAAW,0014x000005pBv6AAE,2019-04-16,2019-10-15
0064x000002ARFgAAO,0014x000005pC4FAAU,2019-08-20,2020-08-19
0064x000002ARFiAAO,0014x000005pC2BAAU,2019-04-03,2020-04-02
0064x000002ARFlAAO,0014x000005pC3rAAE,2019-10-23,2020-10-22
0064x000002ARFvAAO,0014x000005pC2fAAE,2019-05-13,2020-05-12
0064x000002ARAtAAO,0014x000005pC5MAAU,2020-02-01,2021-01-31
0064x000002ARBoAAO,0014x000005pByJAAU,2020-05-13,2021-05-12
0064x000002ARBpAAO,0014x000005pBzEAAU,2020-08-12,2021-08-11
0064x000002ARBqAAO,0014x000005pBydAAE,2020-05-11,2021-05-10
0064x000002ARCcAAO,0014x000005pCB1AAM,2021-03-23,2022-03-22
0064x000002ARCgAAO,0014x000005pBvdAAE,2021-07-01,2023-06-30
0064x000002ARChAAO,0014x000005pC5MAAU,2021-02-01,2022-01-31
0064x000002ARCiAAO,0014x000005pC5lAAE,2021-01-01,2021-12-31
0064x000002ARCkAAO,0014x000005pByJAAU,2021-05-13,2022-05-12
0064x000002ARClAAO,0014x000005pBydAAE,2021-05-11,2022-05-10
0064x000002ARCmAAO,0014x000005pC5sAAE,2021-02-01,2022-01-31
0064x000002ARDZAA4,0014x000005pByIAAU,2020-11-01,2021-10-31
0064x000002ARDfAAO,0014x000005pC2OAAU,2021-07-29,2022-07-28
0064x000002AREPAA4,0014x000005pBzEAAU,2021-08-12,2022-08-11
0064x000002AREsAAO,0014x000005pBuVAAU,2021-11-09,2022-11-08
0064x000002ARFCAA4,0014x000005pBu1AAE,2021-11-30,2022-11-29
0064x000002C0LXAA0,0014x000005pC5sAAE,2022-02-01,2023-01-31
0064x000002C3a3AAC,0014x000005pC9nAAE,2022-04-01,2023-03-31
0064x000002CHeMAAW,0014x000005pC2ZAAU,2022-01-16,2023-01-15
0064x000002CdgvAAC,0014x000005pC3FAAU,2022-03-04,2023-03-03
0064x000002CijOAAS,0014x0000087l6iAAA,2022-03-08,2023-03-07
0064x000002CnrZAAS,0014x000005pCAwAAM,2022-05-01,2023-04-30
0064x000002D3qWAAS,0014x00000EmpvXAAR,2022-03-26,2023-03-25
0064x000007IKGiAAO,0014x00000GNnQsAAL,2022-04-20,2023-04-19
0064x000007IKKwAAO,0014x000005pC9fAAE,2022-04-15,2023-04-14
0064x000007IbIhAAK,0014x000005pC5lAAE,2022-01-01,2022-12-31
0064x000007IxADAA0,0014x000005pByJAAU,2022-05-13,2023-05-12
0064x000007IzjLAAS,0014x000005pCAqAAM,2022-05-15,2023-05-14
0064x000007JD3vAAG,0014x000005pByIAAU,2021-11-01,2022-10-31
0064x000007JHtZAAW,0014x00000A6oxlAAB,2022-05-28,2023-05-27
0064x000007KPRyAAO,0014x00000EobZNAAZ,2022-06-16,2023-06-15
0064x000007LpNNAA0,0014x00000NTFsmAAH,2022-06-30,2023-06-29
0064x00000EsGflAAF,0014x00000NTFsmAAH,2023-06-30,2024-06-29
0064x000002Az63AAC,0014x0000085QqgAAE,2022-02-01,2023-01-31
0064x000002Cb7cAAC,0014x000005pC9QAAU,2022-03-31,2023-03-30
0064x000002CdMhAAK,0014x00001JZeTxAAL,2022-01-27,2023-01-26
0064x000002CdccAAC,0014x00000DIyrnAAD,2022-02-28,2023-02-27
0064x000007I5nAAAS,0014x000005pCB1AAM,2022-03-23,2023-03-22
0064x000007IbIXAA0,0014x000005pBq3AAE,2021-12-01,2022-11-30
0064x000007Iz4cAAC,0014x00000DIzlHAAT,2022-05-22,2023-05-21
0064x00000CVDOJAA5,0014x000005pC5MAAU,2023-02-01,2024-01-31
0064x000002ARBkAAO,0014x000005pBvdAAE,2021-07-01,2023-06-30
0064x000002ARBmAAO,0014x000005pByJAAU,2020-05-13,2021-05-12
0064x000002ARDcAAO,0014x000005pBzEAAU,2020-08-12,2021-08-12
0064x000002ARDeAAO,0014x000005pC2OAAU,2021-07-29,2022-07-28
0064x000002Cuq5AAC,0014x000005pC9yAAE,2021-03-17,2022-03-16
0064x000007IUXiAAO,0014x000005pByJAAU,2021-05-13,2022-05-12
0064x000008phxsAAA,0014x000005pBs4AAE,2021-09-24,2022-09-23
0064x00000DtfhEAAR,0014x00000A6ytWAAR,2021-12-31,2022-06-01
0064x00000FmRPzAAN,0014x000005pC8tAAE,2020-08-01,2020-12-31
0064x00000Br0tlAAB,0014x000005pC8tAAE,2022-12-31,2023-12-30
0064x00000Jxob7AAB,0014x000005pBsFAAU,2022-11-16,2022-12-16
0064x000002AR8mAAG,0014x000005pBvdAAE,2020-07-01,2021-06-30
0064x000002ARBgAAO,0014x000005pBvdAAE,2020-07-01,2020-12-31
0064x000002ARBhAAO,0014x000005pC2OAAU,2020-07-29,2021-07-28
0064x000002AREMAA4,0014x000005pC8eAAE,2020-12-16,2021-12-15
0064x000002AREbAAO,0014x000005pC2ZAAU,2021-01-16,2022-01-15
0064x000002AREdAAO,0014x000005pC9nAAE,2021-04-01,2022-03-31
0064x000002ARFEAA4,0014x000005pC9QAAU,2021-03-31,2022-03-30
0064x000002ARFHAA4,0014x000005pCAqAAM,2021-05-15,2022-05-14
0064x000002BgHiAAK,0014x0000087l6iAAA,2021-03-08,2022-03-07
0064x000002BgbyAAC,0014x00000A6ytWAAR,2021-06-02,2022-06-01
0064x000002C5M5AAK,0014x00000DIzlHAAT,2021-05-22,2022-05-21
0064x000002CdOiAAK,0014x00000EmX9aAAF,2021-09-23,2022-09-22
0064x000002CdOxAAK,0014x00000EmBIyAAN,2021-09-06,2022-09-05
0064x000002CvsYAAS,0014x000005pCBfAAM,2022-06-01,2023-05-31
0064x000007IwwRAAS,0014x00000I7z64AAB,2021-08-16,2022-08-15
0064x000007Iy0SAAS,0014x00000KZsuWAAT,2021-08-28,2022-08-27
0064x000007JAHjAAO,0014x00000EnLEqAAN,2022-02-10,2023-02-09
0064x000007K2c5AAC,0014x00000NTw3JAAT,2022-03-02,2023-03-01
0064x000007KPYVAA4,0014x00000zCjP7AAK,2021-09-23,2022-12-22
0064x000007Lw8CAAS,0014x00000SVjkSAAT,2021-09-29,2022-09-28
0064x000009PamkAAC,0014x00001rUdEtAAK,2022-02-02,2022-05-01
0064x000009RmZ4AAK,0014x00000WwzSFAAZ,2021-11-18,2022-11-17
0064x000009n6TrAAI,0014x00000edOVnAAM,2021-11-15,2022-11-14
0064x00000ACOrgAAH,0014x000005pBxHAAU,2022-02-17,2023-02-16
0064x00000AEszNAAT,0014x000005pC8tAAE,2021-12-31,2022-12-30
0064x00000Au2iwAAB,0014x00000n6HiLAAU,2022-02-08,2023-02-07
0064x00000CWSurAAH,0014x00000edOVnAAM,2022-01-18,2022-11-14
0064x00000CXKpeAAH,0014x00000ecYrYAAU,2022-03-28,2023-03-27
0064x00000CXQCEAA5,0014x00000u47jrAAA,2022-01-31,2023-01-30
0064x00000CXTo6AAH,0014x00000u5nJ9AAI,2022-03-31,2023-03-30
0064x00000CnjaDAAR,0014x00000ecYrYAAU,2022-02-28,2022-03-27
0064x00000Co5YBAAZ,0014x00000zE2ToAAK,2022-03-31,2023-03-30
0064x00000CpfMnAAJ,0014x00001126gjAAA,2022-03-14,2022-04-13
0064x00000D7eE2AAJ,0014x00000l0qdAAAQ,2022-03-14,2022-04-13
0064x00000DThdcAAD,0014x000005pCBfAAM,2022-04-18,2022-05-31
0064x00000DsqOrAAJ,0014x00000h9yRVAAY,2022-07-11,2022-09-10
0064x00000EGZpWAAX,0014x000012fMTjAAM,2022-05-25,2022-06-24
0064x00000EGc5OAAT,0014x00000vAQldAAG,2022-05-23,2022-06-22
0064x00000EHgmjAAD,0014x00000wlZ0NAAU,2022-05-18,2022-06-17
0064x000007InoKAAS,0014x000015L46bAAC,2022-05-01,2023-04-30
0064x000008nc9EAAQ,0014x00000SYzCqAAL,2021-12-06,2022-12-05
0064x000002ARBnAAO,0014x000005pBq3AAE,2020-12-01,2021-11-30
0064x000002ARCjAAO,0014x000005pCAwAAM,2021-05-01,2022-04-30
0064x000002ARCeAAO,0014x00001JZeTxAAL,2021-01-27,2022-01-26
0064x00000Au3P2AAJ,0014x00000eg8dDAAQ,2022-01-31,2023-01-30
0064x00000CYiSQAA1,0014x00000kHH1YAAW,2022-02-28,2023-02-27
0064x00000AX4BcAAL,0014x000005pBuIAAU,2021-12-01,2022-11-30
0064x00000AsmnzAAB,0014x00000lTSyYAAW,2021-11-30,2022-11-29
0064x00000Cnuw2AAB,0014x00001126gjAAA,2022-04-14,2023-04-13
0064x000007JD3lAAG,0014x000005pBxyAAE,2021-07-19,2022-07-18
0064x000002D0eBAAS,0014x00000EobZNAAZ,2021-06-16,2022-06-15
0064x000007IMp3AAG,0014x000015L46bAAC,2021-05-01,2022-04-30
0064x000002D3mUAAS,0014x00000I51poAAB,2021-11-01,2022-10-31
0064x000002ARFGAA4,0014x000005pCAqAAM,2021-03-15,2021-05-14
0064x000002AREXAA4,0014x000005pCChAAM,2021-08-29,2022-08-28
0064x000002ARF0AAO,0014x000005pC3FAAU,2021-02-04,2022-03-03
0064x000009Pz9dAAC,0014x00000bvBjNAAU,2021-11-08,2022-11-07
0064x000007JDiSAAW,0014x00000NSDTRAA5,2021-11-25,2022-11-24
0064x00000AspSAAAZ,0014x000005pC3xAAE,2021-12-31,2022-12-30
0064x00000AFRaTAAX,0014x00000j6q8qAAA,2021-12-31,2022-12-30
0064x00000NqLmxAAF,0014x00000kHKEFAA4,,
0064x000002ARFWAA4,0014x000005pC9fAAE,2021-04-15,2022-04-14
0064x000002ARFDAA4,0014x000005pC9QAAU,2021-01-19,2021-02-22
0064x000002ARFQAA4,0014x000005pCBqAAM,2021-06-19,2022-08-18
0064x000002ARCRAA4,0014x000005pBssAAE,2020-12-31,2021-12-30
0064x000002ARCrAAO,0014x000005pBs4AAE,2020-08-24,2020-09-23
0064x000002ARDgAAO,0014x000005pBs4AAE,2020-09-24,2021-09-23
0064x000002AR9tAAG,0014x000005pC58AAE,2020-10-01,2021-03-31
0064x000002ARDbAAO,0014x000005pC9yAAE,2021-03-17,2022-03-16
0064x000002ARDXAA4,0014x000005pBysAAE,2020-11-14,2020-12-30
0064x000002AREWAA4,0014x000005pBs4AAE,2021-09-24,2022-09-23
0064x000002ARCWAA4,0014x000005pCChAAM,2020-09-29,2021-08-28
0064x000002ARFTAA4,0014x000005pBvdAAE,2021-01-01,2021-06-30
0064x000002ARBsAAO,0014x000005pC3rAAE,2020-10-23,2021-10-22
